Code,Year,Access to clean fuels cooking %,IDCFA
CUB,2012,77.76,2012CUB
CUB,2013,78.2,2013CUB
CUB,2014,78.64,2014CUB
CUB,2015,79.04,2015CUB
CUB,2016,79.44,2016CUB
CYP,2000,100,2000CYP
CYP,2001,100,2001CYP
CYP,2002,100,2002CYP
CYP,2003,100,2003CYP
CYP,2004,100,2004CYP
CYP,2005,100,2005CYP
CYP,2006,100,2006CYP
CYP,2007,100,2007CYP
CYP,2008,100,2008CYP
CYP,2009,100,2009CYP
CYP,2010,100,2010CYP
CYP,2011,100,2011CYP
CYP,2012,100,2012CYP
CYP,2013,100,2013CYP
CYP,2014,100,2014CYP
CYP,2015,100,2015CYP
CYP,2016,100,2016CYP
CZE,2000,93.2,2000CZE
CZE,2001,93.82,2001CZE
CZE,2002,94.4,2002CZE
CZE,2003,94.83,2003CZE
CZE,2004,95.26,2004CZE
CZE,2005,95.65,2005CZE
CZE,2006,95.91,2006CZE
CZE,2007,96.19,2007CZE
CZE,2008,96.46,2008CZE
CZE,2009,96.68,2009CZE
CZE,2010,96.78,2010CZE
CZE,2011,96.77,2011CZE
CZE,2012,96.99,2012CZE
CZE,2013,97.07,2013CZE
CZE,2014,97.14,2014CZE
CZE,2015,97.17,2015CZE
CZE,2016,97.13,2016CZE
COD,2000,3.57,2000COD
COD,2001,3.62,2001COD
COD,2002,3.63,2002COD
COD,2003,3.61,2003COD
COD,2004,3.61,2004COD
COD,2005,3.62,2005COD
COD,2006,3.61,2006COD
COD,2007,3.65,2007COD
COD,2008,3.68,2008COD
COD,2009,3.73,2009COD
COD,2010,3.78,2010COD
COD,2011,3.84,2011COD
COD,2012,3.83,2012COD
COD,2013,3.9,2013COD
COD,2014,3.93,2014COD
COD,2015,3.94,2015COD
COD,2016,4.02,2016COD
DNK,2000,100,2000DNK
DNK,2001,100,2001DNK
DNK,2002,100,2002DNK
DNK,2003,100,2003DNK
DNK,2004,100,2004DNK
DNK,2005,100,2005DNK
DNK,2006,100,2006DNK
DNK,2007,100,2007DNK
DNK,2008,100,2008DNK
DNK,2009,100,2009DNK
DNK,2010,100,2010DNK
DNK,2011,100,2011DNK
DNK,2012,100,2012DNK
DNK,2013,100,2013DNK
DNK,2014,100,2014DNK
DNK,2015,100,2015DNK
DNK,2016,100,2016DNK
DJI,2000,5.3,2000DJI
DJI,2001,5.51,2001DJI
DJI,2002,5.74,2002DJI
DJI,2003,6.02,2003DJI
DJI,2004,6.23,2004DJI
DJI,2005,6.49,2005DJI
DJI,2006,6.85,2006DJI
DJI,2007,7.17,2007DJI
DJI,2008,7.59,2008DJI
DJI,2009,7.91,2009DJI
DJI,2010,8.38,2010DJI
DJI,2011,8.84,2011DJI
DJI,2012,9.25,2012DJI
DJI,2013,9.79,2013DJI
DJI,2014,10.29,2014DJI
DJI,2015,10.89,2015DJI
DJI,2016,11.52,2016DJI
DMA,2000,78.36,2000DMA
DMA,2001,79.5,2001DMA
DMA,2002,80.85,2002DMA
DMA,2003,81.69,2003DMA
DMA,2004,82.73,2004DMA
DMA,2005,83.74,2005DMA
DMA,2006,84.47,2006DMA
DMA,2007,85.29,2007DMA
DMA,2008,85.97,2008DMA
DMA,2009,86.86,2009DMA
DMA,2010,87.45,2010DMA
DMA,2011,88.01,2011DMA
DMA,2012,88.66,2012DMA
DMA,2013,89.19,2013DMA
DMA,2014,89.67,2014DMA
DMA,2015,90.06,2015DMA
DMA,2016,90.6,2016DMA
DOM,2000,80.23,2000DOM
DOM,2001,81.07,2001DOM
DOM,2002,81.79,2002DOM
DOM,2003,82.68,2003DOM
DOM,2004,83.43,2004DOM
DOM,2005,84.1,2005DOM
DOM,2006,84.73,2006DOM
DOM,2007,85.58,2007DOM
DOM,2008,86.2,2008DOM
DOM,2009,86.73,2009DOM
DOM,2010,87.31,2010DOM
DOM,2011,87.9,2011DOM
DOM,2012,88.4,2012DOM
DOM,2013,88.99,2013DOM
DOM,2014,89.5,2014DOM
DOM,2015,89.93,2015DOM
DOM,2016,90.41,2016DOM
,2000,32.09833601,
,2001,33.4484462,
,2002,34.585559,
,2003,35.57751627,
,2004,36.90139938,
,2005,37.99341901,
,2006,39.31717952,
,2007,40.56152405,
,2008,41.7946511,
,2009,42.8500733,
,2010,44.26197039,
,2011,45.34043067,
,2012,46.48764627,
,2013,47.58410565,
,2014,48.55932324,
,2015,49.43326383,
,2016,50.36887092,
,2000,45.17142115,
,2001,46.19316979,
,2002,46.96318737,
,2003,47.89970413,
,2004,48.68642669,
,2005,49.70307687,
,2006,50.89935641,
,2007,51.94909273,
,2008,53.17715612,
,2009,54.30459059,
,2010,55.50128532,
,2011,56.55715847,
,2012,57.63135547,
,2013,58.70825559,
,2014,59.5635947,
,2015,60.4641042,
,2016,61.28011745,
,2000,39.65603189,
,2001,40.82131868,
,2002,41.70544283,
,2003,42.78173381,
,2004,43.6861762,
,2005,44.85235473,
,2006,46.2073308,
,2007,47.39878894,
,2008,48.77401556,
,2009,50.04546974,
,2010,51.39279379,
,2011,52.59143129,
,2012,53.80273132,
,2013,55.02031182,
,2014,55.98467084,
,2015,57.0056687,
,2016,57.92523557,
,2000,39.19367843,
,2001,40.3487882,
,2002,41.22617875,
,2003,42.29119305,
,2004,43.1899262,
,2005,44.3470279,
,2006,45.69157285,
,2007,46.87409355,
,2008,48.23879164,
,2009,49.50324171,
,2010,50.84085526,
,2011,52.03203434,
,2012,53.23641184,
,2013,54.44630646,
,2014,55.4100627,
,2015,56.42421306,
,2016,57.34268156,
ECU,2000,87.18,2000ECU
ECU,2001,87.89,2001ECU
ECU,2002,88.85,2002ECU
ECU,2003,89.75,2003ECU
ECU,2004,90.29,2004ECU
ECU,2005,90.83,2005ECU
ECU,2006,91.62,2006ECU
ECU,2007,92.1,2007ECU
ECU,2008,92.57,2008ECU
ECU,2009,93.09,2009ECU
ECU,2010,93.57,2010ECU
ECU,2011,93.99,2011ECU
ECU,2012,94.39,2012ECU
ECU,2013,94.73,2013ECU
ECU,2014,95.02,2014ECU
ECU,2015,95.24,2015ECU
ECU,2016,95.58,2016ECU
EGY,2000,83.28,2000EGY
EGY,2001,85.24,2001EGY
EGY,2002,87.71,2002EGY
EGY,2003,88.85,2003EGY
EGY,2004,90.28,2004EGY
EGY,2005,91.98,2005EGY
EGY,2006,93.14,2006EGY
EGY,2007,94,2007EGY
EGY,2008,94.6,2008EGY
EGY,2009,95.34,2009EGY
EGY,2010,95.99,2010EGY
EGY,2011,96.27,2011EGY
EGY,2012,96.48,2012EGY
EGY,2013,96.85,2013EGY
EGY,2014,97.11,2014EGY
EGY,2015,97.31,2015EGY
EGY,2016,97.62,2016EGY
SLV,2000,56.51,2000SLV
SLV,2001,59.04,2001SLV
SLV,2002,61.49,2002SLV
SLV,2003,63.83,2003SLV
SLV,2004,66.11,2004SLV
SLV,2005,68.09,2005SLV
SLV,2006,70.27,2006SLV
SLV,2007,72.29,2007SLV
SLV,2008,74.16,2008SLV
SLV,2009,75.76,2009SLV
SLV,2010,77.68,2010SLV
SLV,2011,79.15,2011SLV
SLV,2012,80.64,2012SLV
SLV,2013,82.34,2013SLV
SLV,2014,83.52,2014SLV
SLV,2015,84.71,2015SLV
SLV,2016,86,2016SLV
GNQ,2000,22.97,2000GNQ
GNQ,2001,23.27,2001GNQ
GNQ,2002,24.33,2002GNQ
GNQ,2003,24.82,2003GNQ
GNQ,2004,25.71,2004GNQ
GNQ,2005,26.39,2005GNQ
GNQ,2006,27.12,2006GNQ
GNQ,2007,28.23,2007GNQ
GNQ,2008,28.83,2008GNQ
GNQ,2009,29.64,2009GNQ
GNQ,2010,30.58,2010GNQ
GNQ,2011,31.1,2011GNQ
GNQ,2012,31.51,2012GNQ
GNQ,2013,32.97,2013GNQ
GNQ,2014,33.75,2014GNQ
GNQ,2015,34,2015GNQ
GNQ,2016,34.39,2016GNQ
ERI,2000,6.08,2000ERI
ERI,2001,6.49,2001ERI
ERI,2002,7.07,2002ERI
ERI,2003,7.56,2003ERI
ERI,2004,7.88,2004ERI
ERI,2005,8.76,2005ERI
ERI,2006,9.3,2006ERI
ERI,2007,9.96,2007ERI
ERI,2008,10.58,2008ERI
ERI,2009,11.37,2009ERI
ERI,2010,12.13,2010ERI
ERI,2011,12.73,2011ERI
ERI,2012,13.4,2012ERI
ERI,2013,14.01,2013ERI
ERI,2014,14.78,2014ERI
ERI,2015,15.6,2015ERI
ERI,2016,16.32,2016ERI
EST,2000,79.41,2000EST
EST,2001,81,2001EST
EST,2002,82.27,2002EST
EST,2003,83.25,2003EST
EST,2004,84.79,2004EST
EST,2005,85.64,2005EST
EST,2006,86.64,2006EST
EST,2007,87.58,2007EST
EST,2008,88.38,2008EST
EST,2009,89.26,2009EST
EST,2010,90.04,2010EST
EST,2011,90.54,2011EST
EST,2012,91.18,2012EST
EST,2013,91.65,2013EST
EST,2014,92.14,2014EST
EST,2015,92.61,2015EST
EST,2016,92.89,2016EST
SWZ,2000,27.24,2000SWZ
SWZ,2001,28.72,2001SWZ
SWZ,2002,29.98,2002SWZ
SWZ,2003,31.63,2003SWZ
SWZ,2004,32.96,2004SWZ
SWZ,2005,34.57,2005SWZ
SWZ,2006,35.93,2006SWZ
SWZ,2007,37.26,2007SWZ
SWZ,2008,38.78,2008SWZ
SWZ,2009,40.01,2009SWZ
SWZ,2010,41.57,2010SWZ
SWZ,2011,42.82,2011SWZ
SWZ,2012,44.49,2012SWZ
SWZ,2013,45.73,2013SWZ
SWZ,2014,47.15,2014SWZ
SWZ,2015,48.52,2015SWZ
SWZ,2016,49.7,2016SWZ
ETH,2000,1.07,2000ETH
ETH,2001,1.18,2001ETH
ETH,2002,1.31,2002ETH
ETH,2003,1.46,2003ETH
ETH,2004,1.58,2004ETH
ETH,2005,1.79,2005ETH
ETH,2006,1.96,2006ETH
ETH,2007,2.1,2007ETH
ETH,2008,2.36,2008ETH
ETH,2009,2.51,2009ETH
ETH,2010,2.69,2010ETH
ETH,2011,2.82,2011ETH
ETH,2012,3.01,2012ETH
ETH,2013,3.11,2013ETH
ETH,2014,3.25,2014ETH
ETH,2015,3.4,2015ETH
ETH,2016,3.51,2016ETH
,2000,99.2366245,
,2001,99.29748797,
,2002,99.35117854,
,2003,99.40317435,
,2004,99.44861918,
,2005,99.48453987,
,2006,99.52041406,
,2007,99.55019107,
,2008,99.57923703,
,2009,99.60298641,
,2010,99.62387468,
,2011,99.63648868,
,2012,99.65265448,
,2013,99.66475479,
,2014,99.67659107,
,2015,99.68443386,
,2016,99.68698742,
,2000,92.27278567,
,2001,92.81981392,
,2002,93.3362889,
,2003,93.79277426,
,2004,94.22131356,
,2005,94.61690874,
,2006,95.00129445,
,2007,95.33119655,
,2008,95.65599318,
,2009,95.92050139,
,2010,96.1894792,
,2011,96.41386096,
,2012,96.62716062,
,2013,96.81827033,
,2014,97.0160534,
,2015,97.18031849,
,2016,97.31806411,
,2000,84.22424268,
,2001,85.2799547,
,2002,86.27578838,
,2003,87.15990984,
,2004,87.99774582,
,2005,88.78074512,
,2006,89.55162772,
,2007,90.21135165,
,2008,90.87038726,
,2009,91.41922208,
,2010,91.98852632,
,2011,92.48450821,
,2012,92.93388088,
,2013,93.34019393,
,2014,93.76124039,
,2015,94.11434715,
,2016,94.41551272,
,2000,82.4340533,
,2001,83.60479412,
,2002,84.70957743,
,2003,85.69098422,
,2004,86.62306882,
,2005,87.49815191,
,2006,88.35420268,
,2007,89.09238985,
,2008,89.82595739,
,2009,90.43925827,
,2010,91.07886079,
,2011,91.63265225,
,2012,92.13794698,
,2013,92.59448711,
,2014,93.0645241,
,2015,93.46159368,
,2016,93.79822311,
,2000,96.95863738,
,2001,97.22586598,
,2002,97.46596676,
,2003,97.676347,
,2004,97.86482391,
,2005,98.01950563,
,2006,98.17143308,
,2007,98.30815506,
,2008,98.43247801,
,2009,98.53169457,
,2010,98.62519422,
,2011,98.69862759,
,2012,98.77060234,
,2013,98.82513116,
,2014,98.88599,
,2015,98.93420062,
,2016,98.97008252,
FJI,2000,31.13,2000FJI
FJI,2001,31.58,2001FJI
FJI,2002,32.43,2002FJI
FJI,2003,32.91,2003FJI
FJI,2004,33.47,2004FJI
FJI,2005,33.98,2005FJI
FJI,2006,34.69,2006FJI
FJI,2007,35.39,2007FJI
FJI,2008,35.8,2008FJI
FJI,2009,36.33,2009FJI
FJI,2010,36.91,2010FJI
FJI,2011,37.47,2011FJI
FJI,2012,37.93,2012FJI
FJI,2013,38.32,2013FJI
FJI,2014,38.83,2014FJI
FJI,2015,39.16,2015FJI
FJI,2016,39.56,2016FJI
FIN,2000,100,2000FIN
FIN,2001,100,2001FIN
FIN,2002,100,2002FIN
FIN,2003,100,2003FIN
FIN,2004,100,2004FIN
FIN,2005,100,2005FIN
FIN,2006,100,2006FIN
FIN,2007,100,2007FIN
FIN,2008,100,2008FIN
FIN,2009,100,2009FIN
FIN,2010,100,2010FIN
FIN,2011,100,2011FIN
FIN,2012,100,2012FIN
FIN,2013,100,2013FIN
FIN,2014,100,2014FIN
FIN,2015,100,2015FIN
FIN,2016,100,2016FIN
,2000,19.08661638,
,2001,19.64375237,
,2002,20.19232318,
,2003,20.69057134,
,2004,21.17083135,
,2005,21.70486656,
,2006,22.2266739,
,2007,22.7483697,
,2008,23.261054,
,2009,23.73715505,
,2010,24.22742424,
,2011,24.65706335,
,2012,25.15127763,
,2013,25.5772041,
,2014,25.94181375,
,2015,26.37358337,
,2016,26.90167804,
FRA,2000,100,2000FRA
FRA,2001,100,2001FRA
FRA,2002,100,2002FRA
FRA,2003,100,2003FRA
FRA,2004,100,2004FRA
FRA,2005,100,2005FRA
FRA,2006,100,2006FRA
FRA,2007,100,2007FRA
FRA,2008,100,2008FRA
FRA,2009,100,2009FRA
FRA,2010,100,2010FRA
FRA,2011,100,2011FRA
FRA,2012,100,2012FRA
FRA,2013,100,2013FRA
FRA,2014,100,2014FRA
FRA,2015,100,2015FRA
FRA,2016,100,2016FRA
GAB,2000,58.72,2000GAB
GAB,2001,60.59,2001GAB
GAB,2002,62.4,2002GAB
GAB,2003,64.33,2003GAB
GAB,2004,65.35,2004GAB
GAB,2005,67.19,2005GAB
GAB,2006,68.85,2006GAB
GAB,2007,69.84,2007GAB
GAB,2008,71.14,2008GAB
GAB,2009,72.06,2009GAB
GAB,2010,73.57,2010GAB
GAB,2011,74.64,2011GAB
GAB,2012,75.75,2012GAB
GAB,2013,76.53,2013GAB
GAB,2014,77.3,2014GAB
GAB,2015,78.13,2015GAB
GAB,2016,79.12,2016GAB
GMB,2000,3.19,2000GMB
GMB,2001,3.17,2001GMB
GMB,2002,3.17,2002GMB
GMB,2003,3.16,2003GMB
GMB,2004,3.18,2004GMB
GMB,2005,3.15,2005GMB
GMB,2006,3.19,2006GMB
GMB,2007,3.14,2007GMB
GMB,2008,3.16,2008GMB
GMB,2009,3.22,2009GMB
GMB,2010,3.18,2010GMB
GMB,2011,3.24,2011GMB
GMB,2012,3.2,2012GMB
GMB,2013,3.26,2013GMB
GMB,2014,3.27,2014GMB
GMB,2015,3.23,2015GMB
GMB,2016,3.3,2016GMB
GEO,2000,41.19,2000GEO
GEO,2001,43.74,2001GEO
GEO,2002,46.15,2002GEO
GEO,2003,48.62,2003GEO
GEO,2004,51.27,2004GEO
GEO,2005,53.61,2005GEO
GEO,2006,56.49,2006GEO
GEO,2007,58.89,2007GEO
GEO,2008,61.46,2008GEO
GEO,2009,63.75,2009GEO
GEO,2010,66.26,2010GEO
GEO,2011,68.57,2011GEO
GEO,2012,70.47,2012GEO
GEO,2013,72.26,2013GEO
GEO,2014,74.35,2014GEO
GEO,2015,76.36,2015GEO
GEO,2016,77.79,2016GEO
DEU,2000,100,2000DEU
DEU,2001,100,2001DEU
DEU,2002,100,2002DEU
DEU,2003,100,2003DEU
DEU,2004,100,2004DEU
DEU,2005,100,2005DEU
DEU,2006,100,2006DEU
DEU,2007,100,2007DEU
DEU,2008,100,2008DEU
DEU,2009,100,2009DEU
DEU,2010,100,2010DEU
DEU,2011,100,2011DEU
DEU,2012,100,2012DEU
DEU,2013,100,2013DEU
DEU,2014,100,2014DEU
DEU,2015,100,2015DEU
DEU,2016,100,2016DEU
GHA,2000,5.89,2000GHA
GHA,2001,6.48,2001GHA
GHA,2002,7.15,2002GHA
GHA,2003,7.76,2003GHA
GHA,2004,8.54,2004GHA
GHA,2005,9.44,2005GHA
GHA,2006,10.17,2006GHA
GHA,2007,11.04,2007GHA
GHA,2008,12.07,2008GHA
GHA,2009,13.11,2009GHA
GHA,2010,14.05,2010GHA
GHA,2011,15.11,2011GHA
GHA,2012,16.43,2012GHA
GHA,2013,17.58,2013GHA
GHA,2014,18.82,2014GHA
GHA,2015,20.37,2015GHA
GHA,2016,21.71,2016GHA
GRC,2000,88.2,2000GRC
GRC,2001,89.16,2001GRC
GRC,2002,89.83,2002GRC
GRC,2003,90.58,2003GRC
GRC,2004,91.19,2004GRC
GRC,2005,91.77,2005GRC
GRC,2006,92.26,2006GRC
GRC,2007,92.66,2007GRC
GRC,2008,92.98,2008GRC
GRC,2009,93.3,2009GRC
GRC,2010,93.63,2010GRC
GRC,2011,93.77,2011GRC
GRC,2012,93.98,2012GRC
GRC,2013,94.1,2013GRC
GRC,2014,94.22,2014GRC
GRC,2015,94.31,2015GRC
GRC,2016,94.29,2016GRC
GRD,2000,92.93,2000GRD
GRD,2001,93.39,2001GRD
GRD,2002,93.84,2002GRD
GRD,2003,94.18,2003GRD
GRD,2004,94.59,2004GRD
GRD,2005,94.82,2005GRD
GRD,2006,95.11,2006GRD
GRD,2007,95.33,2007GRD
GRD,2008,95.56,2008GRD
GRD,2009,95.73,2009GRD
GRD,2010,95.89,2010GRD
GRD,2011,96.08,2011GRD
GRD,2012,96.22,2012GRD
GRD,2013,96.4,2013GRD
GRD,2014,96.46,2014GRD
GRD,2015,96.5,2015GRD
GRD,2016,96.58,2016GRD
GTM,2000,39.34,2000GTM
GTM,2001,39.75,2001GTM
GTM,2002,40.11,2002GTM
GTM,2003,40.71,2003GTM
GTM,2004,40.94,2004GTM
GTM,2005,41.56,2005GTM
GTM,2006,41.93,2006GTM
GTM,2007,42.35,2007GTM
GTM,2008,42.8,2008GTM
GTM,2009,43.19,2009GTM
GTM,2010,43.42,2010GTM
GTM,2011,43.94,2011GTM
GTM,2012,44.24,2012GTM
GTM,2013,44.46,2013GTM
GTM,2014,44.88,2014GTM
GTM,2015,45.06,2015GTM
GTM,2016,45.23,2016GTM
GIN,2000,1.15,2000GIN
GIN,2001,1.19,2001GIN
GIN,2002,1.18,2002GIN
GIN,2003,1.21,2003GIN
GIN,2004,1.25,2004GIN
GIN,2005,1.19,2005GIN
GIN,2006,1.23,2006GIN
GIN,2007,1.25,2007GIN
GIN,2008,1.26,2008GIN
GIN,2009,1.23,2009GIN
GIN,2010,1.22,2010GIN
GIN,2011,1.24,2011GIN
GIN,2012,1.26,2012GIN
GIN,2013,1.23,2013GIN
GIN,2014,1.25,2014GIN
GIN,2015,1.24,2015GIN
GIN,2016,1.24,2016GIN
GNB,2000,1.38,2000GNB
GNB,2001,1.35,2001GNB
GNB,2002,1.39,2002GNB
GNB,2003,1.39,2003GNB
GNB,2004,1.35,2004GNB
GNB,2005,1.39,2005GNB
GNB,2006,1.4,2006GNB
GNB,2007,1.41,2007GNB
GNB,2008,1.39,2008GNB
GNB,2009,1.44,2009GNB
GNB,2010,1.46,2010GNB
GNB,2011,1.43,2011GNB
GNB,2012,1.44,2012GNB
GNB,2013,1.46,2013GNB
GNB,2014,1.5,2014GNB
GNB,2015,1.46,2015GNB
GNB,2016,1.52,2016GNB
GUY,2000,36.33,2000GUY
GUY,2001,38.72,2001GUY
GUY,2002,41.52,2002GUY
GUY,2003,43.89,2003GUY
GUY,2004,46.48,2004GUY
GUY,2005,48.99,2005GUY
GUY,2006,51.81,2006GUY
GUY,2007,54.33,2007GUY
GUY,2008,57.03,2008GUY
GUY,2009,59.48,2009GUY
GUY,2010,61.85,2010GUY
GUY,2011,64.31,2011GUY
GUY,2012,66.38,2012GUY
GUY,2013,68.64,2013GUY
GUY,2014,70.79,2014GUY
GUY,2015,72.59,2015GUY
GUY,2016,74.48,2016GUY
HTI,2000,3.22,2000HTI
HTI,2001,3.29,2001HTI
HTI,2002,3.33,2002HTI
HTI,2003,3.34,2003HTI
HTI,2004,3.46,2004HTI
HTI,2005,3.54,2005HTI
HTI,2006,3.56,2006HTI
HTI,2007,3.59,2007HTI
HTI,2008,3.75,2008HTI
HTI,2009,3.8,2009HTI
HTI,2010,3.86,2010HTI
HTI,2011,3.92,2011HTI
HTI,2012,4.01,2012HTI
HTI,2013,4.1,2013HTI
HTI,2014,4.17,2014HTI
HTI,2015,4.27,2015HTI
HTI,2016,4.34,2016HTI
,2000,6.782598728,
,2001,7.0052443,
,2002,7.275706173,
,2003,7.523780162,
,2004,7.790767847,
,2005,8.093334162,
,2006,8.381863686,
,2007,8.665555013,
,2008,8.9897506,
,2009,9.287599653,
,2010,9.638149119,
,2011,9.97948361,
,2012,10.31155622,
,2013,10.66268256,
,2014,11.02461049,
,2015,11.11628064,
,2016,11.52695792,
,2000,98.86648264,
,2001,98.93236874,
,2002,98.99391336,
,2003,99.04763694,
,2004,99.09836607,
,2005,99.13655787,
,2006,99.17232288,
,2007,99.20293135,
,2008,99.24261864,
,2009,99.26283138,
,2010,99.28973643,
,2011,99.3034377,
,2012,99.32306788,
,2013,99.338286,
,2014,99.34785178,
,2015,99.35371261,
,2016,99.36203843,
HND,2000,29.93,2000HND
HND,2001,31.66,2001HND
HND,2002,33.44,2002HND
HND,2003,35.23,2003HND
HND,2004,36.93,2004HND
HND,2005,38.43,2005HND
HND,2006,40.04,2006HND
HND,2007,41.46,2007HND
HND,2008,42.9,2008HND
HND,2009,44.28,2009HND
HND,2010,45.59,2010HND
HND,2011,46.89,2011HND
HND,2012,48.31,2012HND
HND,2013,49.51,2013HND
HND,2014,50.68,2014HND
HND,2015,51.87,2015HND
HND,2016,53.1,2016HND
HUN,2000,100,2000HUN
HUN,2001,100,2001HUN
HUN,2002,100,2002HUN
HUN,2003,100,2003HUN
HUN,2004,100,2004HUN
HUN,2005,100,2005HUN
HUN,2006,100,2006HUN
HUN,2007,100,2007HUN
HUN,2008,100,2008HUN
HUN,2009,100,2009HUN
HUN,2010,100,2010HUN
HUN,2011,100,2011HUN
HUN,2012,100,2012HUN
HUN,2013,100,2013HUN
HUN,2014,100,2014HUN
HUN,2015,100,2015HUN
HUN,2016,100,2016HUN
,2000,47.44619826,
,2001,48.72467664,
,2002,49.7088172,
,2003,50.67085277,
,2004,51.70388105,
,2005,52.68753079,
,2006,53.86008419,
,2007,54.87488111,
,2008,55.95178898,
,2009,56.86749231,
,2010,58.03640573,
,2011,58.96829808,
,2012,59.95676544,
,2013,60.93281546,
,2014,61.74110884,
,2015,62.51924138,
,2016,63.32307963,
,2000,39.83917795,
,2001,40.86275033,
,2002,41.64484396,
,2003,42.40602387,
,2004,43.22842161,
,2005,44.00514936,
,2006,44.9328878,
,2007,45.73631335,
,2008,46.58927194,
,2009,47.30723086,
,2010,48.23013408,
,2011,48.9620871,
,2012,49.75704685,
,2013,50.51458838,
,2014,51.14866863,
,2015,51.76357995,
,2016,52.40073647,
,2000,17.29237076,
,2001,18.01015743,
,2002,18.60849114,
,2003,19.18434779,
,2004,19.89389666,
,2005,20.45159553,
,2006,21.07172028,
,2007,21.71979087,
,2008,22.37369237,
,2009,22.97718772,
,2010,23.73140619,
,2011,24.4678758,
,2012,25.17441824,
,2013,25.89264123,
,2014,26.63847266,
,2015,27.42274256,
,2016,28.1234795,
,2000,9.942469766,
,2001,10.27886082,
,2002,10.63229531,
,2003,10.99572118,
,2004,11.35544615,
,2005,11.75816739,
,2006,12.18614535,
,2007,12.60660404,
,2008,13.05392318,
,2009,13.46613681,
,2010,13.91120697,
,2011,14.31489467,
,2012,14.69315336,
,2013,15.07613546,
,2014,15.4818267,
