,Country,IDCode,latitude,longitude
0,Afghanistan,AFG,42.546245,1.601554
1,Angola,AGO,23.424076,53.847818
2,Albania,ALB,33.93911,67.709953
3,Andorra,AND,17.060816,-61.796428
4,Arab World,ARB,18.220554,-63.068615
5,United Arab Emirates,ARE,41.153332,20.168331
6,Argentina,ARG,40.069099,45.038189
7,Armenia,ARM,12.226079,-69.060087
8,American Samoa,ASM,-11.202692,17.873887
9,Antigua and Barbuda,ATG,-75.250973,-0.071389
10,Australia,AUS,-38.416097,-63.616672
11,Austria,AUT,-14.270972,-170.132217
12,Azerbaijan,AZE,47.516231,14.550072
13,Burundi,BDI,-25.274398,133.775136
14,Belgium,BEL,12.52111,-69.968338
15,Benin,BEN,40.143105,47.576927
16,Burkina Faso,BFA,43.915886,17.679076
17,Bangladesh,BGD,13.193887,-59.543198
18,Bulgaria,BGR,23.684994,90.356331
19,Bahrain,BHR,50.503887,4.469936
20,"Bahamas, The",BHS,12.238333,-1.561593
21,Bosnia and Herzegovina,BIH,42.733883,25.48583
22,Belarus,BLR,25.930414,50.637772
23,Belize,BLZ,-3.373056,29.918886
24,Bermuda,BMU,9.30769,2.315834
25,Bolivia,BOL,32.321384,-64.75737
26,Brazil,BRA,4.535277,114.727669
27,Barbados,BRB,-16.290154,-63.588653
28,Brunei Darussalam,BRN,-14.235004,-51.92528
29,Bhutan,BTN,25.03428,-77.39628
30,Botswana,BWA,27.514162,90.433601
31,Central African Republic,CAF,-54.423199,3.413194
32,Canada,CAN,-22.328474,24.684866
33,Central Europe and the Baltics,CEB,53.709807,27.953389
34,Switzerland,CHE,17.189877,-88.49765
35,Chile,CHL,56.130366,-106.346771
36,China,CHN,-12.164165,96.870956
37,Cote d'Ivoire,CIV,-4.038333,21.758664
38,Cameroon,CMR,6.611111,20.939444
39,"Congo, Dem. Rep.",COD,-0.228021,15.827659
40,"Congo, Rep.",COG,46.818188,8.227512
41,Colombia,COL,7.539989,-5.54708
42,Comoros,COM,-21.236736,-159.777671
43,Cabo Verde,CPV,-35.675147,-71.542969
44,Costa Rica,CRI,7.369722,12.354722
45,Caribbean small states,CSS,35.86166,104.195397
46,Cuba,CUB,4.570868,-74.297333
47,Cyprus,CYP,9.748917,-83.753428
48,Czech Republic,CZE,21.521757,-77.781167
49,Germany,DEU,16.002082,-24.013197
50,Djibouti,DJI,-10.447525,105.690449
51,Dominica,DMA,35.126413,33.429859
52,Denmark,DNK,49.817492,15.472962
53,Dominican Republic,DOM,51.165691,10.451526
54,Algeria,DZA,11.825138,42.590275
55,East Asia & Pacific (excluding high income),EAP,56.26392,9.501785
56,Early-demographic dividend,EAR,15.414999,-61.370976
57,East Asia & Pacific,EAS,18.735693,-70.162651
58,Europe & Central Asia (excluding high income),ECA,28.033886,1.659626
59,Europe & Central Asia,ECS,-1.831239,-78.183406
60,Ecuador,ECU,58.595272,25.013607
61,"Egypt, Arab Rep.",EGY,26.820553,30.802498
63,Eritrea,ERI,15.179384,39.782334
64,Spain,ESP,40.463667,-3.74922
65,Estonia,EST,9.145,40.489673
66,Ethiopia,ETH,61.92411,25.748151
67,European Union,EUU,-16.578193,179.414413
68,Fragile and conflict affected situations,FCS,-51.796253,-59.523613
69,Finland,FIN,7.425554,150.550812
70,Fiji,FJI,61.892635,-6.911806
71,France,FRA,46.227638,2.213749
72,"Micronesia, Fed. Sts.",FSM,-0.803689,11.609444
73,Gabon,GAB,55.378051,-3.435973
74,United Kingdom,GBR,12.262776,-61.604171
75,Georgia,GEO,42.315407,43.356892
76,Ghana,GHA,3.933889,-53.125782
77,Guinea,GIN,49.465691,-2.585278
78,"Gambia, The",GMB,7.946527,-1.023194
79,Guinea-Bissau,GNB,36.137741,-5.345374
80,Equatorial Guinea,GNQ,71.706936,-42.604303
81,Greece,GRC,13.443182,-15.310139
82,Grenada,GRD,9.945587,-9.696645
83,Greenland,GRL,16.995971,-62.067641
84,Guatemala,GTM,1.650801,10.267895
85,Guam,GUM,39.074208,21.824312
86,Guyana,GUY,-54.429579,-36.587909
87,High income,HIC,15.783471,-90.230759
88,Honduras,HND,13.444304,144.793731
89,Heavily indebted poor countries (HIPC),HPC,11.803749,-15.180413
90,Croatia,HRV,4.860416,-58.93018
91,Haiti,HTI,31.354676,34.308825
92,Hungary,HUN,22.396428,114.109497
93,IBRD only,IBD,-53.08181,73.504158
94,IDA & IBRD total,IBT,15.199999,-86.241905
95,IDA total,IDA,45.1,15.2
96,IDA blend,IDB,18.971187,-72.285215
97,Indonesia,IDN,47.162494,19.503304
98,IDA only,IDX,-0.789275,113.921327
99,India,IND,53.41291,-8.24389
100,Ireland,IRL,31.046051,34.851612
101,"Iran, Islamic Rep.",IRN,54.236107,-4.548056
102,Iraq,IRQ,20.593684,78.96288
103,Iceland,ISL,-6.343194,71.876519
104,Israel,ISR,33.223191,43.679291
105,Italy,ITA,32.427908,53.688046
106,Jamaica,JAM,64.963051,-19.020835
107,Jordan,JOR,41.87194,12.56738
108,Japan,JPN,49.214439,-2.13125
109,Kazakhstan,KAZ,18.109581,-77.297508
110,Kenya,KEN,30.585164,36.238414
111,Kyrgyz Republic,KGZ,36.204824,138.252924
112,Cambodia,KHM,-0.023559,37.906193
113,Kiribati,KIR,41.20438,74.766098
114,"Korea, Rep.",KOR,12.565679,104.990963
115,Kuwait,KWT,-3.370417,-168.734039
116,Latin America & Caribbean (excluding high income),LAC,-11.875001,43.872219
117,Lao PDR,LAO,17.357822,-62.782998
118,Lebanon,LBN,40.339852,127.510093
119,Liberia,LBR,35.907757,127.766922
120,Libya,LBY,29.31166,47.481766
121,St. Lucia,LCA,19.513469,-80.566956
122,Latin America & Caribbean,LCN,48.019573,66.923684
123,Least developed countries: UN classification,LDC,19.85627,102.495496
124,Low income,LIC,33.854721,35.862285
125,Sri Lanka,LKA,13.909444,-60.978893
126,Lower middle income,LMC,47.166,9.555373
127,Low & middle income,LMY,7.873054,80.771797
128,Lesotho,LSO,6.428055,-9.429499
129,Late-demographic dividend,LTE,-29.609988,28.233608
130,Lithuania,LTU,55.169438,23.881275
131,Luxembourg,LUX,49.815273,6.129583
132,Latvia,LVA,56.879635,24.603189
133,Morocco,MAR,26.3351,17.228331
134,Moldova,MDA,31.791702,-7.09262
135,Madagascar,MDG,43.750298,7.412841
136,Maldives,MDV,47.411631,28.369885
137,Middle East & North Africa,MEA,42.708678,19.37439
138,Mexico,MEX,-18.766947,46.869107
139,Marshall Islands,MHL,7.131474,171.184478
140,Middle income,MIC,41.608635,21.745275
141,North Macedonia,MKD,17.570692,-3.996166
142,Mali,MLI,21.913965,95.956223
143,Malta,MLT,46.862496,103.846656
144,Myanmar,MMR,22.198745,113.543873
145,Middle East & North Africa (excluding high income),MNA,17.33083,145.38469
146,Montenegro,MNE,14.641528,-61.024174
147,Mongolia,MNG,21.00789,-10.940835
148,Northern Mariana Islands,MNP,16.742498,-62.187366
149,Mozambique,MOZ,35.937496,14.375416
150,Mauritania,MRT,-20.348404,57.552152
151,Mauritius,MUS,3.202778,73.22068
152,Malawi,MWI,-13.254308,34.301525
153,Malaysia,MYS,23.634501,-102.552784
154,North America,NAC,4.210484,101.975766
155,Namibia,NAM,-18.665695,35.529562
156,Niger,NER,-22.95764,18.49041
157,Nigeria,NGA,-20.904305,165.618042
158,Nicaragua,NIC,17.607789,8.081666
159,Netherlands,NLD,-29.040835,167.954712
160,Norway,NOR,9.081999,8.675277
161,Nepal,NPL,12.865416,-85.207229
162,New Zealand,NZL,52.132633,5.291266
163,OECD members,OED,60.472024,8.468946
164,Oman,OMN,28.394857,84.124008
165,Other small states,OSS,-0.522778,166.931503
166,Pakistan,PAK,-19.054445,-169.867233
167,Panama,PAN,-40.900557,174.885971
168,Peru,PER,21.512583,55.923255
169,Philippines,PHL,8.537981,-80.782127
170,Papua New Guinea,PNG,-9.189967,-75.015152
171,Poland,POL,-17.679742,-149.406843
172,Pre-demographic dividend,PRE,-6.314993,143.95555
173,Puerto Rico,PRI,12.879721,121.774017
174,"Korea, Dem. Peopleâ€™s Rep.",PRK,30.375321,69.345116
175,Portugal,PRT,51.919438,19.145136
176,Paraguay,PRY,46.941936,-56.27111
177,West Bank and Gaza,PSE,-24.703615,-127.439308
178,Pacific island small states,PSS,18.220833,-66.590149
179,Post-demographic dividend,PST,31.952162,35.233154
180,Qatar,QAT,39.399872,-8.224454
181,Romania,ROU,7.51498,134.58252
182,Russian Federation,RUS,-23.442503,-58.443832
183,Rwanda,RWA,25.354826,51.183884
184,South Asia,SAS,-21.115141,55.536384
185,Saudi Arabia,SAU,45.943161,24.96676
186,Sudan,SDN,44.016521,21.005859
187,Senegal,SEN,61.52401,105.318756
188,Singapore,SGP,-1.940278,29.873888
189,Solomon Islands,SLB,23.885942,45.079162
190,Sierra Leone,SLE,-9.64571,160.156194
191,El Salvador,SLV,-4.679574,55.491977
192,Somalia,SOM,12.862807,30.217636
193,Serbia,SRB,60.128161,18.643501
194,Sub-Saharan Africa (excluding high income),SSA,1.352083,103.819836
195,South Sudan,SSD,-24.143474,-10.030696
196,Sub-Saharan Africa,SSF,46.151241,14.995463
197,Small states,SST,77.553604,23.670272
198,Sao Tome and Principe,STP,48.669026,19.699024
199,Suriname,SUR,8.460555,-11.779889
200,Slovak Republic,SVK,43.94236,12.457777
201,Slovenia,SVN,14.497401,-14.452362
202,Sweden,SWE,5.152149,46.199616
203,Eswatini,SWZ,3.919305,-56.027783
204,Seychelles,SYC,0.18636,6.613081
205,Syrian Arab Republic,SYR,13.794185,-88.89653
206,Chad,TCD,34.802075,38.996815
207,East Asia & Pacific (IDA & IBRD countries),TEA,-26.522503,31.465866
208,Europe & Central Asia (IDA & IBRD countries),TEC,21.694025,-71.797928
209,Togo,TGO,15.454166,18.732207
210,Thailand,THA,-49.280366,69.348557
211,Tajikistan,TJK,8.619543,0.824782
212,Turkmenistan,TKM,15.870032,100.992541
213,Latin America & the Caribbean (IDA & IBRD countries),TLA,38.861034,71.276093
214,Timor-Leste,TLS,-8.967363,-171.855881
215,Middle East & North Africa (IDA & IBRD countries),TMN,-8.874217,125.727539
216,Tonga,TON,38.969719,59.556278
217,South Asia (IDA & IBRD),TSA,33.886917,9.537499
218,Sub-Saharan Africa (IDA & IBRD countries),TSS,-21.178986,-175.198242
219,Trinidad and Tobago,TTO,38.963745,35.243322
220,Tunisia,TUN,10.691803,-61.222503
221,Turkey,TUR,-7.109535,177.64933
222,Tanzania,TZA,23.69781,120.960515
223,Uganda,UGA,-6.369028,34.888822
224,Ukraine,UKR,48.379433,31.16558
225,Upper middle income,UMC,1.373333,32.290275
227,United States,USA,37.09024,-95.712891
228,Uzbekistan,UZB,-32.522779,-55.765835
229,St. Vincent and the Grenadines,VCT,41.377491,64.585262
231,Virgin Islands (U.S.),VIR,12.984305,-61.287228
233,Vanuatu,VUT,18.420695,-64.639968
238,Zambia,ZMB,-13.759029,-172.104629
239,Zimbabwe,ZWE,42.602636,20.902977
